date,equity,dd,positions,cash,KOSPI,KOSDAQ
2021-12-17,132816981.93,-0.08276500431144285,0,132816981.93,3017.73,1001.26
2021-12-20,132816981.93,-0.08276500431144285,0,132816981.93,2963.0,990.51
2021-12-24,132816981.93,-0.08276500431144285,0,132816981.93,3012.43,1007.42
2021-12-27,132816981.93,-0.08276500431144285,0,132816981.93,2999.55,1011.36
2021-12-31,132816981.93,-0.08276500431144285,0,132816981.93,2977.65,1033.98
2022-01-03,132816981.93,-0.08276500431144285,0,132816981.93,2988.77,1037.83
2022-01-07,132816981.93,-0.08276500431144285,0,132816981.93,2954.89,995.16
2022-01-10,132816981.93,-0.08276500431144285,0,132816981.93,2926.72,980.38
2022-01-14,132816981.93,-0.08276500431144285,0,132816981.93,2921.92,971.39
2022-01-17,132816981.93,-0.08276500431144285,0,132816981.93,2890.1,957.9
2022-01-21,132816981.93,-0.08276500431144285,0,132816981.93,2834.29,942.85
2022-01-24,132816981.93,-0.08276500431144285,0,132816981.93,2792.0,915.4
2022-01-28,132816981.93,-0.08276500431144285,0,132816981.93,2663.34,872.87
2022-01-31,132816981.93,-0.08276500431144285,0,132816981.93,2663.34,872.87
2022-02-04,132816981.93,-0.08276500431144285,0,132816981.93,2750.26,902.87
2022-02-07,132816981.93,-0.08276500431144285,0,132816981.93,2745.06,899.4
2022-02-11,132816981.93,-0.08276500431144285,0,132816981.93,2747.71,877.42
2022-02-14,132816981.93,-0.08276500431144285,0,132816981.93,2704.48,852.79
2022-02-18,132816981.93,-0.08276500431144285,0,132816981.93,2744.52,881.71
2022-02-21,132816981.93,-0.08276500431144285,0,132816981.93,2743.8,884.25
2022-02-25,132816981.93,-0.08276500431144285,0,132816981.93,2676.76,872.98
2022-02-28,132816981.93,-0.08276500431144285,0,132816981.93,2699.18,881.07
2022-03-04,132816981.93,-0.08276500431144285,0,132816981.93,2713.43,900.96
2022-03-07,132816981.93,-0.08276500431144285,0,132816981.93,2651.31,881.54
2022-03-11,132969812.43,-0.08170955582156181,2,123783645.66,2661.28,891.71
2022-03-14,132548427.1,-0.08461964582458181,2,123783645.66,2645.65,872.44
2022-03-18,132877654.64,-0.08234599815660804,4,100142256.08,2707.02,922.96
2022-03-21,133384330.25,-0.07884689289009339,4,100142256.08,2686.05,918.4
2022-03-25,136973798.13,-0.05405800288827689,4,100142256.08,2729.98,934.69
2022-03-28,135647974.22,-0.06321415197931379,6,78281781.52,2729.56,927.11
2022-04-01,134712947.38,-0.06967145380242035,7,64710939.78,2739.85,940.57
2022-04-04,135174266.74,-0.06648557911206121,7,64710939.78,2757.9,947.32
2022-04-08,134914774.36,-0.06827763528282982,7,62223769.3,2700.39,934.73
2022-04-11,132893959.77,-0.08223339481607184,7,62223769.3,2693.1,921.83
2022-04-15,131805706.83,-0.08974887714539515,8,41065761.3,2696.06,924.44
2022-04-18,131805453.4,-0.0897506273347276,8,41065761.3,2693.21,918.23
2022-04-22,135570597.18,-0.0637485183526455,11,14094705.84,2704.71,922.78
2022-04-25,131212559.63,-0.09384515581043373,10,23230195.34,2657.13,899.84
2022-04-29,127991580.17,-0.11608926223549254,8,45177177.68,2695.05,904.75
2022-05-02,126920098.42,-0.12348892261069655,6,66831979.69,2687.45,901.82
2022-05-06,125418713.77,-0.13385749538624292,4,82509861.21,2644.51,884.22
2022-05-09,124063868.53,-0.14321406598295328,4,82509861.21,2610.81,860.84
2022-05-13,123380811.55,-0.1479312622104323,2,104853683.52,2604.24,853.08
2022-05-16,123254532.22,-0.14880334813668195,2,104853683.52,2596.58,856.25
2022-05-20,123779259.12,-0.14517958053659563,5,74337257.18,2639.29,879.88
2022-05-23,124102136.55,-0.1429497867721954,5,74337257.18,2647.38,883.59
2022-05-27,123985949.25,-0.14375217706947474,5,70878644.53,2638.05,873.97
2022-05-30,124589247.58,-0.13958579463045728,5,70878644.53,2669.66,886.44
2022-06-03,123910224.97,-0.144275129470817,4,79925065.25,2670.65,891.51
2022-06-06,123759734.63,-0.14531441679955504,5,68843504.12,2670.65,891.51
2022-06-10,124496887.77,-0.1402236321170205,6,53603069.99,2595.87,869.86
2022-06-13,122797125.31,-0.15196220342028477,4,74395290.23,2504.51,828.77
2022-06-17,120028970.19,-0.17107910182185093,3,88416489.64,2440.93,798.69
2022-06-20,120223282.9,-0.1697371769028445,3,88416489.64,2391.03,769.92
2022-06-24,119097551.88,-0.17751148311182308,1,111767190.97,2366.6,750.3
2022-06-27,119097551.88,-0.17751148311182308,1,111767190.97,2401.92,770.6
2022-07-01,119097551.88,-0.17751148311182308,1,111767190.97,2305.42,729.48
2022-07-04,119097551.88,-0.17751148311182308,1,111767190.97,2300.34,722.73
2022-07-08,119097551.88,-0.17751148311182308,1,111767190.97,2350.61,766.48
2022-07-11,119097551.88,-0.17751148311182308,1,111767190.97,2340.27,767.04
2022-07-15,119097551.88,-0.17751148311182308,1,111767190.97,2330.98,762.39
2022-07-18,118978512.72,-0.17833356837398406,4,87270508.81,2375.25,776.72
2022-07-22,119842267.99,-0.17236846850616772,5,82291306.93,2393.14,789.75
2022-07-25,120247704.8,-0.16956851909255788,5,82291306.93,2403.69,789.69
2022-07-29,120508894.0,-0.1677647446711351,4,86872172.66,2451.5,803.62
2022-08-01,121187769.28,-0.16307642729277416,4,86872172.66,2452.25,807.61
2022-08-05,121104060.69,-0.16365451939419096,10,27888424.79,2490.8,831.64
2022-08-08,122493151.18,-0.15406145086416156,10,27888424.79,2493.1,830.86
2022-08-12,122724565.79,-0.15246329996718144,11,16692970.38,2527.94,831.63
2022-08-15,122724565.79,-0.15246329996718144,11,16692970.38,2527.94,831.63
2022-08-19,124086860.68,-0.14305528203605378,9,36803754.87,2492.69,814.17
2022-08-22,122784504.98,-0.15204935950653908,9,36803754.87,2462.5,795.87
2022-08-26,122054973.13,-0.15708751150762956,8,45322919.97,2481.03,802.45
2022-08-29,120774510.51,-0.16593039521623587,6,59388427.91,2426.89,779.89
2022-09-02,120325336.37,-0.16903239493328592,4,82547202.71,2409.41,785.88
2022-09-05,119412769.9,-0.17533458528585044,4,82547202.71,2403.68,771.43
2022-09-09,119826807.25,-0.17247524048352458,3,91147462.73,2384.28,777.81
2022-09-12,119826807.25,-0.17247524048352458,3,91147462.73,2384.28,777.81
2022-09-16,119285307.67,-0.1762148403276802,3,91147462.73,2382.78,770.04
2022-09-19,118640020.37,-0.1806711988838875,2,102671117.02,2355.66,751.91
2022-09-23,118387215.97,-0.18241706781852618,1,111056855.05,2290.0,729.36
2022-09-26,118387215.97,-0.18241706781852618,1,111056855.05,2220.94,692.37
2022-09-30,118387215.97,-0.18241706781852618,1,111056855.05,2155.49,672.65
2022-10-03,118387215.97,-0.18241706781852618,1,111056855.05,2155.49,672.65
2022-10-07,118387215.97,-0.18241706781852618,1,111056855.05,2232.84,698.49
2022-10-10,118387215.97,-0.18241706781852618,1,111056855.05,2232.84,698.49
2022-10-14,118387215.97,-0.18241706781852618,1,111056855.05,2212.55,678.24
2022-10-17,118387215.97,-0.18241706781852618,1,111056855.05,2219.71,682.0
2022-10-21,118387215.97,-0.18241706781852618,1,111056855.05,2213.12,674.48
2022-10-24,118387215.97,-0.18241706781852618,1,111056855.05,2236.16,688.5
2022-10-28,118112071.01,-0.18431722081501822,3,91358571.2,2268.4,687.63
2022-10-31,117943622.91,-0.18548052455850106,3,91358571.2,2293.61,695.33
2022-11-04,118706690.19,-0.18021077664592033,3,91358571.2,2348.43,693.89
2022-11-07,118485111.06,-0.18174100365000434,3,91358571.2,2371.79,700.48
2022-11-11,118948859.04,-0.17853835689313058,3,91358571.2,2483.16,731.22
2022-11-14,119487587.31,-0.1748178957349995,5,70745858.44,2474.65,729.54
2022-11-18,118070836.0,-0.18460199007923406,5,70745858.44,2444.48,731.92
2022-11-21,118040668.89,-0.18481032434951106,4,81371844.58,2419.5,718.57
2022-11-25,118241421.69,-0.1834239241244291,4,81371844.58,2437.86,733.56
2022-11-28,117833058.52,-0.18624408300043582,4,81371844.58,2408.27,717.9
2022-12-02,117951003.6,-0.1854295534623207,4,81371844.58,2434.33,732.95
2022-12-05,116839039.62,-0.19310878439785484,4,81371844.58,2419.32,733.32
2022-12-09,115477193.31,-0.20251370443240035,4,79417774.95,2389.04,719.49
2022-12-12,115062898.76,-0.20537482545970476,2,97540196.09,2373.02,715.22
2022-12-16,115137476.87,-0.20485978851630882,2,97540196.09,2360.02,717.41
2022-12-19,115410929.94,-0.20297131972385674,2,97540196.09,2352.17,717.22
2022-12-23,115137476.87,-0.20485978851630882,2,97540196.09,2313.69,691.25
2022-12-26,115038039.39,-0.20554650444083677,2,97540196.09,2317.14,694.68
2022-12-30,115163032.93,-0.20468329818921893,3,85074567.48,2236.4,679.29
