ticker,name,entry_date,entry_type,entry_price,shares,entry_rs,ca_pass,exit_date,exit_price,exit_reason,pnl_%,pnl_$,hold_days
145020.KQ,휴젤,2024-06-10,regular,213000,73.3063,96,Y,2024-07-02,223500.0,21EMA이탈(+5%),4.93,769715.89,22
036810.KQ,에프에스티,2024-07-01,regular,37799,330.7924,97,N,2024-07-03,34775.08,손절(-8%),-8.0,-1000289.9,2
031980.KS,피에스케이홀딩스,2024-05-13,regular,48400,163.0058,99,N,2024-07-08,62000.0,50EMA이탈(+28%),28.1,2216878.99,56
078600.KQ,대주전자재료,2024-06-17,regular,144000,93.3455,97,N,2024-07-11,132480.0,손절(-8%),-8.0,-1075340.42,24
028300.KQ,HLB,2024-07-08,regular,95400,148.7312,99,N,2024-07-12,85500.0,손절(갭-10%),-10.38,-1472439.31,4
036460.KS,한국가스공사,2024-06-10,regular,37500,322.6709,96,N,2024-07-15,42450.0,50EMA이탈(+13%),13.2,1597221.18,35
012510.KS,더존비즈온,2024-05-27,regular,60700,207.0166,98,N,2024-07-17,69400.0,21EMA이탈(+14%),14.33,1801044.0,51
214150.KQ,클래시스,2024-06-17,regular,52900,294.9548,96,Y,2024-07-19,48668.0,손절(-8%),-8.0,-1248248.72,32
281820.KS,케이씨텍,2024-06-24,regular,44200,347.1452,96,N,2024-07-17,46550.0,21EMA이탈(+5%),5.32,815791.22,23
319660.KQ,피에스케이,2024-07-01,regular,36700,491.0367,96,N,2024-07-17,33764.0,손절(-8%),-8.0,-1441683.68,16
298040.KS,효성중공업,2024-07-15,regular,385500,34.5213,98,Y,2024-07-18,354660.0,손절(-8%),-8.0,-1064637.4,3
067160.KQ,SOOP,2024-07-15,regular,137000,104.0428,96,N,2024-07-18,126040.0,손절(-8%),-8.0,-1140309.17,3
089030.KQ,테크윙,2024-05-20,regular,37250,236.1034,99,N,2024-07-22,51500.0,50EMA이탈(+38%),38.26,3364473.1,63
178320.KQ,서진시스템,2024-07-01,regular,29900,553.9085,96,N,2024-07-22,27508.0,손절(-8%),-8.0,-1324949.06,21
047920.KQ,HLB제약,2024-07-22,regular,27000,381.6926,96,N,2024-07-26,24840.0,손절(-8%),-8.0,-824456.07,4
267260.KS,HD현대일렉트릭,2024-02-13,regular,106600,134.1561,99,N,2024-08-02,275000.0,50EMA이탈(+158%),157.97,22591888.38,171
257720.KQ,실리콘투,2024-05-13,regular,26000,517.155,99,Y,2024-08-05,36250.0,50EMA이탈(+39%),39.42,5300838.48,84
145020.KQ,휴젤,2024-07-29,regular,240000,74.9965,97,Y,2024-08-05,220800.0,손절(-8%),-8.0,-1439932.84,7
064350.KS,현대로템,2024-07-29,regular,49500,340.0515,97,Y,2024-08-05,45540.0,손절(-8%),-8.0,-1346603.86,7
257720.KQ,실리콘투,2024-08-19,regular,45300,170.07,99,Y,2024-08-22,41676.0,손절(-8%),-8.0,-616333.78,3
241710.KQ,코스메카코리아,2024-08-19,regular,80300,108.1916,99,N,2024-08-27,73876.0,손절(-8%),-8.0,-695022.74,8
229640.KS,LS에코에너지,2024-08-26,regular,28450,412.9831,98,N,2024-08-29,26174.0,손절(-8%),-8.0,-939949.56,3
267260.KS,HD현대일렉트릭,2024-08-19,regular,300000,25.6162,99,Y,2024-09-04,266000.0,손절(갭-11%),-11.33,-870951.87,16
237690.KQ,에스티팜,2024-09-03,regular,109000,104.1913,96,Y,2024-09-04,100280.0,손절(-8%),-8.0,-908548.2,1
000100.KS,유한양행,2024-11-05,regular,141200,93.0956,99,N,2024-11-07,129904.0,손절(-8%),-8.0,-1051607.38,2
010130.KS,고려아연,2024-11-05,regular,1099000,5.8646,99,N,2024-11-11,1011080.0,손절(-8%),-8.0,-515612.03,6
241710.KQ,코스메카코리아,2024-11-05,regular,78400,181.5542,99,N,2024-11-11,72128.0,손절(-8%),-8.0,-1138707.73,6
033100.KQ,제룡전기,2024-11-11,regular,60500,220.2397,99,Y,2024-11-11,55660.0,손절(-8%),-8.0,-1065960.14,0
257720.KQ,실리콘투,2024-11-05,regular,40200,328.307,99,Y,2024-11-12,36984.0,손절(-8%),-8.0,-1055835.17,7
214450.KQ,파마리서치,2024-11-05,regular,228000,67.3729,99,Y,2024-11-12,209760.0,손절(-8%),-8.0,-1228882.5,7
007390.KQ,네이처셀,2024-11-11,regular,20000,348.3987,99,N,2024-11-22,21250.0,21EMA이탈(+6%),6.25,435498.42,11
323280.KQ,태성,2024-11-18,regular,24910,172.2942,99,Y,2024-11-20,22917.2,손절(-8%),-8.0,-343347.82,2
012450.KS,한화에어로스페이스,2024-11-18,regular,400775,43.2706,99,N,2024-11-20,368713.0,손절(-8%),-8.0,-1387343.53,2
298040.KS,효성중공업,2024-11-18,regular,471000,28.899,99,Y,2024-11-21,433320.0,손절(-8%),-8.0,-1088912.77,3
079550.KS,LIG넥스원,2024-11-18,regular,238000,57.3876,98,Y,2024-11-21,218960.0,손절(-8%),-8.0,-1092659.67,3
207940.KS,삼성바이오로직스,2024-09-09,regular,1401100,16.018,96,Y,2024-11-22,1374609.0,RS하락(86),-1.89,-424332.73,74
064350.KS,현대로템,2024-11-05,regular,61400,254.3057,99,Y,2024-11-26,56488.0,손절(-8%),-8.0,-1249149.82,21
267260.KS,HD현대일렉트릭,2024-11-05,regular,333500,41.2049,99,Y,2024-11-28,347000.0,21EMA이탈(+4%),4.05,556266.18,23
065350.KQ,신성델타테크,2025-01-06,regular,102200,71.9838,99,N,2025-01-09,94024.0,손절(-8%),-8.0,-588539.42,3
007390.KQ,네이처셀,2025-01-06,regular,21550,478.1441,99,N,2025-01-13,19826.0,손절(-8%),-8.0,-824320.45,7
003230.KS,삼양식품,2024-11-18,regular,535000,24.2642,99,Y,2025-01-21,725000.0,21EMA이탈(+36%),35.51,4610201.84,64
298040.KS,효성중공업,2025-01-20,regular,482000,29.5692,99,Y,2025-01-31,443440.0,손절(-8%),-8.0,-1140188.07,11
082740.KS,한화엔진,2025-01-13,regular,22500,647.7544,99,Y,2025-02-21,23200.0,21EMA이탈(+3%),3.11,453428.11,39
098460.KQ,고영,2025-02-17,regular,20300,506.8928,99,N,2025-02-21,18676.0,손절(-8%),-8.0,-823193.96,4
007390.KQ,네이처셀,2025-02-18,regular,20500,687.3096,97,N,2025-02-20,18860.0,손절(-8%),-8.0,-1127187.71,2
277810.KQ,레인보우로보틱스,2025-01-20,regular,261000,41.4865,99,N,2025-03-20,302000.0,50EMA이탈(+16%),15.71,1700945.42,59
079550.KS,LIG넥스원,2025-02-17,regular,285000,54.7444,96,Y,2025-03-21,260000.0,손절(갭-9%),-8.77,-1368610.64,32
036930.KQ,주성엔지니어링,2025-03-24,regular,41950,349.5034,96,N,2025-03-28,38594.0,손절(-8%),-8.0,-1172933.25,4
196170.KQ,알테오젠,2025-03-24,regular,375500,26.9114,96,N,2025-04-07,345460.0,손절(-8%),-8.0,-808418.85,14
